Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     6603     0.00     0.00  sc_dt::sc_int<4>::operator=(sc_dt::sc_int<4> const&)
  0.00      0.00     0.00     6274     0.00     0.00  pkt::operator=(pkt const&)
  0.00      0.00     0.00     6274     0.00     0.00  sc_dt::sc_int<8>::operator=(sc_dt::sc_int<8> const&)
  0.00      0.00     0.00     5050     0.00     0.00  sc_dt::sc_value_base::~sc_value_base()
  0.00      0.00     0.00     4097     0.00     0.00  sc_dt::sc_value_base::sc_value_base()
  0.00      0.00     0.00     3192     0.00     0.00  sc_dt::sc_int_base::~sc_int_base()
  0.00      0.00     0.00     3160     0.00     0.00  sc_dt::sc_int_base::sc_int_base(int)
  0.00      0.00     0.00     3160     0.00     0.00  sc_dt::sc_int_base::check_length() const
  0.00      0.00     0.00     3149     0.00     0.00  sc_core::sc_object::simcontext() const
  0.00      0.00     0.00     3112     0.00     0.00  sc_dt::sc_uint_base::extend_sign()
  0.00      0.00     0.00     2921     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<pkt> >::operator->()
  0.00      0.00     0.00     2921     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<pkt> >::operator->() const
  0.00      0.00     0.00     2774     0.00     0.00  sc_dt::sc_uint_base::operator unsigned long long() const
  0.00      0.00     0.00     2576     0.00     0.00  sc_dt::sc_uint_base::operator[](int)
  0.00      0.00     0.00     2576     0.00     0.00  sc_dt::sc_uint_bitref_r::initialize(sc_dt::sc_uint_base const*, int)
  0.00      0.00     0.00     2576     0.00     0.00  sc_dt::sc_uint_base::check_index(int) const
  0.00      0.00     0.00     2576     0.00     0.00  sc_dt::sc_uint_base::test(int) const
  0.00      0.00     0.00     2576     0.00     0.00  sc_dt::sc_uint_bitref_r::operator unsigned long long() const
  0.00      0.00     0.00     2441     0.00     0.00  sc_dt::sc_int_base::operator long long() const
  0.00      0.00     0.00     2000     0.00     0.00  sc_core::sc_signal_t<pkt, (sc_core::sc_writer_policy)0>::event() const
  0.00      0.00     0.00     2000     0.00     0.00  sc_core::sc_simcontext::event_occurred(unsigned long long) const
  0.00      0.00     0.00     2000     0.00     0.00  sc_core::sc_signal_channel::event() const
  0.00      0.00     0.00     2000     0.00     0.00  sc_core::sc_in<pkt>::event() const
  0.00      0.00     0.00     1867     0.00     0.00  sc_dt::operator==(sc_dt::sc_int_base const&, sc_dt::sc_int_base const&)
  0.00      0.00     0.00     1850     0.00     0.00  pkt::operator==(pkt const&) const
  0.00      0.00     0.00     1604     0.00     0.00  sc_dt::sc_int<4>::~sc_int()
  0.00      0.00     0.00     1588     0.00     0.00  pkt::~pkt()
  0.00      0.00     0.00     1588     0.00     0.00  sc_dt::sc_int<8>::~sc_int()
  0.00      0.00     0.00     1580     0.00     0.00  sc_dt::sc_int<4>::sc_int()
  0.00      0.00     0.00     1576     0.00     0.00  pkt::pkt()
  0.00      0.00     0.00     1576     0.00     0.00  sc_dt::sc_int<8>::sc_int()
  0.00      0.00     0.00     1565     0.00     0.00  switch_reg::operator=(switch_reg const&)
  0.00      0.00     0.00     1243     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<sc_dt::sc_int<4> > >::operator->()
  0.00      0.00     0.00     1243     0.00     0.00  sc_core::sc_signal_t<sc_dt::sc_int<4>, (sc_core::sc_writer_policy)0>::read() const
  0.00      0.00     0.00     1243     0.00     0.00  sc_core::sc_in<sc_dt::sc_int<4> >::read() const
  0.00      0.00     0.00     1243     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<sc_dt::sc_int<4> > >::operator->() const
  0.00      0.00     0.00      965     0.00     0.00  sc_dt::sc_value_base::sc_value_base(sc_dt::sc_value_base const&)
  0.00      0.00     0.00      939     0.00     0.00  sc_core::sc_get_curr_simcontext()
  0.00      0.00     0.00      937     0.00     0.00  sc_dt::sc_uint_base::sc_uint_base(int)
  0.00      0.00     0.00      937     0.00     0.00  sc_dt::sc_uint_base::check_length() const
  0.00      0.00     0.00      933     0.00     0.00  sc_dt::sc_uint_base::~sc_uint_base()
