Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     3840     0.00     0.00  sc_core::sc_time::sc_time(sc_core::sc_time const&)
  0.00      0.00     0.00     2955     0.00     0.00  sc_core::operator<<(std::ostream&, sc_core::sc_time const&)
  0.00      0.00     0.00     2948     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.00     0.00     2860     0.00     0.00  tlm::tlm_phase::operator unsigned int() const
  0.00      0.00     0.00     2280     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00     2116     0.00     0.00  std::_Rb_tree_iterator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >*)
  0.00      0.00     0.00     2083     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.00     0.00     2083     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.00     0.00     1980     0.00     0.00  std::less<tlm::tlm_generic_payload*>::operator()(tlm::tlm_generic_payload* const&, tlm::tlm_generic_payload* const&) const
  0.00      0.00     0.00     1666     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >*)
  0.00      0.00     0.00     1603     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::begin()
  0.00      0.00     0.00     1603     0.00     0.00  std::multimap<sc_core::sc_time const, tlm::tlm_generic_payload*, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::begin()
  0.00      0.00     0.00     1571     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >*)
  0.00      0.00     0.00     1509     0.00     0.00  report::print(tlm::tlm_phase)
  0.00      0.00     0.00     1474     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.00     0.00     1474     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.00     0.00     1474     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00      0.00     0.00     1402     0.00     0.00  std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >::operator()(std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> const&) const
  0.00      0.00     0.00     1090     0.00     0.00  std::_Rb_tree_iterator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::operator->() const
  0.00      0.00     0.00     1057     0.00     0.00  tlm::tlm_generic_payload::get_address() const
  0.00      0.00     0.00     1026     0.00     0.00  __gnu_cxx::new_allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::new_allocator()
  0.00      0.00     0.00     1026     0.00     0.00  __gnu_cxx::new_allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::~new_allocator()
  0.00      0.00     0.00     1026     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::get_allocator() const
  0.00      0.00     0.00     1026     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_get_Node_allocator() const
  0.00      0.00     0.00     1026     0.00     0.00  std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::allocator<std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >(std::allocator<std::_Rb_tree_node<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > > const&)
  0.00      0.00     0.00     1026     0.00     0.00  std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >::~allocator()
  0.00      0.00     0.00     1026     0.00     0.00  std::_Rb_tree<sc_core::sc_time const, std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*>, std::_Select1st<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> >, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::_M_end()
  0.00      0.00     0.00     1024     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::end()
  0.00      0.00     0.00      964     0.00     0.00  tlm_utils::peq_with_get<tlm::tlm_generic_payload>::get_next_transaction()
